dataset_size,max_depth,min_samples_split,my_tree_accuracy,my_tree_precision,my_tree_recall,my_tree_depth,my_tree_num_nodes,my_tree_training_time,my_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_tree_depth,sklearn_num_nodes,sklearn_training_time,sklearn_memory_usage
1162,2,2,0.6368330464716007,0.27268566186176674,0.3017854786722712,2,7,0.09619712829589844,1882.765625,0.6858864027538726,0.6257778493428642,0.6858864027538726,2,7,0.0016622543334960938,1882.765625
2324,2,2,0.6424268502581756,0.2709880023820818,0.2881723090627766,2,7,0.09100103378295898,1882.84375,0.6764199655765921,0.6164594684145418,0.6764199655765921,2,7,0.002719402313232422,1882.84375
3486,2,2,0.6411359724612736,0.2683592599480935,0.298769288498442,2,7,0.13216781616210938,1882.953125,0.674411933448078,0.6151594758888919,0.674411933448078,2,7,0.003686189651489258,1882.953125
4648,2,2,0.641566265060241,0.2695661393865886,0.2960480416875331,2,7,0.18315601348876953,1883.171875,0.6725473321858864,0.6145040459582333,0.6725473321858864,2,7,0.004711151123046875,1883.171875
5810,2,2,0.6440619621342513,0.2696267882933027,0.29370735461072833,2,7,0.22562503814697266,1883.4375,0.6726333907056798,0.6144566872387723,0.6726333907056798,2,7,0.005697011947631836,1883.4375
6972,2,2,0.6434308663224326,0.2691632162760666,0.29281921345756184,2,7,0.26906394958496094,1883.625,0.6732644865174986,0.6152927176237195,0.6732644865174986,2,7,0.007053852081298828,1883.625
8134,2,2,0.6426112613720187,0.2701530448867498,0.2936103494888666,2,7,0.3293752670288086,1883.796875,0.6753134988935333,0.6171231862546297,0.6753134988935333,2,7,0.008547782897949219,1883.796875
9296,2,2,0.6421041308089501,0.2697808901685292,0.29151522117272705,2,7,0.37064695358276367,1883.984375,0.6720094664371773,0.6146940098926927,0.6720094664371773,2,7,0.009002923965454102,1883.984375
10458,2,2,0.6419965576592083,0.26959918508100994,0.29217895180208553,2,7,0.45386791229248047,1884.171875,0.6711608338114362,0.6137074336033039,0.6711608338114362,2,7,0.010316848754882812,1884.171875
11621,2,2,0.643404182084158,0.2704145008358986,0.29364358077132735,2,7,0.4593231678009033,1884.25,0.6705102831081663,0.6129840477718717,0.6705102831081663,2,7,0.012079954147338867,1884.25
