dataset_size,max_depth,min_samples_split,my_tree_accuracy,my_tree_precision,my_tree_recall,my_tree_depth,my_tree_num_nodes,my_tree_training_time,my_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_tree_depth,sklearn_num_nodes,sklearn_training_time,sklearn_memory_usage
11,2,2,0.9090909090909091,0.45454545454545453,0.5,2,5,0.011419296264648438,1831.5,1.0,1.0,1.0,1,3,0.0014178752899169922,1831.5
22,2,2,0.9545454545454546,0.96875,0.9285714285714286,2,5,0.005112171173095703,1831.5,1.0,1.0,1.0,1,3,0.0009520053863525391,1831.5
34,2,2,0.9117647058823529,0.94,0.875,2,5,0.004477024078369141,1831.5,1.0,1.0,1.0,2,5,0.000926971435546875,1831.5
45,2,2,0.8888888888888888,0.8863636363636364,0.9107142857142857,2,5,0.003863811492919922,1831.5,1.0,1.0,1.0,2,7,0.0009510517120361328,1831.5
57,2,2,0.8947368421052632,0.8928571428571428,0.9142857142857144,2,5,0.0037078857421875,1831.5,0.9298245614035088,0.9406207827260459,0.9298245614035088,2,5,0.0006909370422363281,1831.5
68,2,2,0.9117647058823529,0.9117647058823529,0.925,2,5,0.0038530826568603516,1831.5,0.9411764705882353,0.9485294117647058,0.9411764705882353,2,5,0.0006220340728759766,1831.5
79,2,2,0.8860759493670886,0.8849358974358974,0.8992686170212766,2,7,0.005211830139160156,1831.5,0.9746835443037974,0.9761727475800448,0.9746835443037974,2,5,0.0008170604705810547,1831.5
91,2,2,0.9010989010989011,0.9002415458937199,0.9113704071499504,2,7,0.005075216293334961,1831.5,0.978021978021978,0.9791208791208791,0.978021978021978,2,5,0.0006999969482421875,1831.5
102,2,2,0.9019607843137255,0.9019607843137255,0.9180327868852459,2,5,0.0035920143127441406,1831.5,0.9901960784313726,0.9903542061986085,0.9901960784313726,2,7,0.0007271766662597656,1831.5
114,2,2,0.9035087719298246,0.9020935960591132,0.9147348364560177,2,7,0.0048999786376953125,1831.5,0.9912280701754386,0.9913570691434469,0.9912280701754386,2,7,0.000701904296875,1831.5
11,2,4,0.9090909090909091,0.45454545454545453,0.5,2,5,0.0014781951904296875,1831.5,1.0,1.0,1.0,1,3,0.0002460479736328125,1831.5
22,2,4,0.9545454545454546,0.96875,0.9285714285714286,2,5,0.0016980171203613281,1831.5,1.0,1.0,1.0,1,3,0.00024771690368652344,1831.5
34,2,4,0.9117647058823529,0.94,0.875,2,5,0.001850128173828125,1831.5,1.0,1.0,1.0,2,5,0.0003032684326171875,1831.5
45,2,4,0.8888888888888888,0.8863636363636364,0.9107142857142857,2,5,0.0019032955169677734,1831.5,1.0,1.0,1.0,2,7,0.0003418922424316406,1831.5
57,2,4,0.8947368421052632,0.8928571428571428,0.9142857142857144,2,5,0.0020599365234375,1831.5,0.9298245614035088,0.9406207827260459,0.9298245614035088,2,5,0.0003540515899658203,1831.5
68,2,4,0.9117647058823529,0.9117647058823529,0.925,2,5,0.002172231674194336,1831.5,0.9411764705882353,0.9485294117647058,0.9411764705882353,2,5,0.00038933753967285156,1831.5
79,2,4,0.8860759493670886,0.8849358974358974,0.8992686170212766,2,7,0.003022909164428711,1831.5,0.9746835443037974,0.9761727475800448,0.9746835443037974,2,5,0.0005009174346923828,1831.5
91,2,4,0.9010989010989011,0.9002415458937199,0.9113704071499504,2,7,0.003228902816772461,1831.5,0.978021978021978,0.9791208791208791,0.978021978021978,2,5,0.0004360675811767578,1831.5
102,2,4,0.9019607843137255,0.9019607843137255,0.9180327868852459,2,5,0.0024261474609375,1831.5,0.9901960784313726,0.9903542061986085,0.9901960784313726,2,7,0.0005218982696533203,1831.5
114,2,4,0.9035087719298246,0.9020935960591132,0.9147348364560177,2,7,0.003612041473388672,1831.5,0.9912280701754386,0.9913570691434469,0.9912280701754386,2,7,0.0005240440368652344,1831.5
11,2,8,0.9090909090909091,0.45454545454545453,0.5,1,3,0.0006258487701416016,1831.5,1.0,1.0,1.0,1,3,0.00019097328186035156,1831.5
22,2,8,0.9545454545454546,0.96875,0.9285714285714286,2,5,0.0013508796691894531,1831.5,1.0,1.0,1.0,1,3,0.0002028942108154297,1831.5
34,2,8,0.9117647058823529,0.94,0.875,2,5,0.0014998912811279297,1831.5,1.0,1.0,1.0,2,5,0.00024819374084472656,1831.5
45,2,8,0.8888888888888888,0.8863636363636364,0.9107142857142857,2,5,0.0016579627990722656,1831.5,1.0,1.0,1.0,2,7,0.00029587745666503906,1831.5
57,2,8,0.8947368421052632,0.8928571428571428,0.9142857142857144,2,5,0.001806020736694336,1831.5,0.9298245614035088,0.9406207827260459,0.9298245614035088,2,5,0.0002899169921875,1831.5
68,2,8,0.9117647058823529,0.9117647058823529,0.925,2,5,0.0019669532775878906,1831.5,0.9411764705882353,0.9485294117647058,0.9411764705882353,2,5,0.00034618377685546875,1831.5
79,2,8,0.8860759493670886,0.8849358974358974,0.8992686170212766,2,7,0.002978086471557617,1831.5,0.9746835443037974,0.9761727475800448,0.9746835443037974,2,5,0.00037789344787597656,1831.5
91,2,8,0.9010989010989011,0.9002415458937199,0.9113704071499504,2,7,0.003174304962158203,1831.5,0.978021978021978,0.9791208791208791,0.978021978021978,2,5,0.0003960132598876953,1831.5
102,2,8,0.9019607843137255,0.9019607843137255,0.9180327868852459,2,5,0.0024619102478027344,1831.5,0.9901960784313726,0.9903542061986085,0.9901960784313726,2,7,0.0004711151123046875,1831.5
114,2,8,0.9035087719298246,0.9020935960591132,0.9147348364560177,2,7,0.0036051273345947266,1831.5,0.9912280701754386,0.9913570691434469,0.9912280701754386,2,7,0.0005140304565429688,1831.5
11,2,16,0.9090909090909091,0.45454545454545453,0.5,0,1,2.1457672119140625e-06,1831.5,0.9090909090909091,0.8264462809917354,0.9090909090909091,0,1,0.0001652240753173828,1831.5
22,2,16,0.8181818181818182,0.8181818181818181,0.8666666666666667,1,3,0.0007321834564208984,1831.5,1.0,1.0,1.0,1,3,0.00019788742065429688,1831.5
34,2,16,0.9117647058823529,0.94,0.875,2,5,0.0014960765838623047,1831.5,1.0,1.0,1.0,2,5,0.00024318695068359375,1831.5
45,2,16,0.8888888888888888,0.8863636363636364,0.9107142857142857,2,5,0.0016329288482666016,1831.5,1.0,1.0,1.0,2,7,0.0002880096435546875,1831.5
